City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,tuatapere,-46.1333,167.6833,11.99,84,68,6.58,NZ,2023-04-05 09:00:00
69,hasaki,35.7333,140.8333,19.83,52,95,7.12,JP,2023-04-05 09:00:00
70,kyotera,-0.6156,31.5175,17.38,97,100,1.86,UG,2023-04-05 09:00:00
71,bluff,-46.6,168.3333,13.54,77,73,14.45,NZ,2023-04-05 09:00:00
72,vostok,46.4856,135.8833,6.42,40,66,0.82,RU,2023-04-05 09:00:00
73,nanortalik,60.1432,-45.2371,-0.71,98,100,1.79,GL,2023-04-05 09:00:00
74,avarua,-21.2078,-159.775,25.83,73,73,5.71,CK,2023-04-05 09:00:00
75,saint-francois,46.4154,3.9054,5.42,81,2,1.51,FR,2023-04-05 09:00:00
76,otjiwarongo,-20.4637,16.6477,28.33,42,58,6.03,NA,2023-04-05 09:00:00
77,georgetown,5.4112,100.3354,29.97,70,47,3.43,MY,2023-04-05 09:00:00
78,saldanha,-33.0117,17.9442,17.58,84,1,4.37,ZA,2023-04-05 09:00:00
79,cidreira,-30.1811,-50.2056,18.77,95,91,0.67,BR,2023-04-05 09:00:00
80,okha,53.5739,142.9478,0.29,66,6,3.4,RU,2023-04-05 09:00:00
81,nhulunbuy,-12.2333,136.7667,28.58,80,80,4.31,AU,2023-04-05 09:00:00
82,chau doc,10.7,105.1167,35.58,39,94,5.03,VN,2023-04-05 09:00:00
83,nemuro,43.3236,145.575,4.75,79,96,4.33,JP,2023-04-05 09:00:00
84,mogadishu,2.0371,45.3438,34.74,62,45,8.12,SO,2023-04-05 09:00:00
85,hervey bay,-25.2986,152.8535,26.69,65,2,2.22,AU,2023-04-05 09:00:00
86,pisco,-13.7,-76.2167,23.58,86,89,1.57,PE,2023-04-05 09:00:00
87,sinazongwe,-17.2614,27.4618,29.1,63,71,4.43,ZM,2023-04-05 09:00:00
88,hami,42.8,93.45,9.03,19,0,1.86,CN,2023-04-05 09:00:00
89,margate,51.3813,1.3862,7.15,71,66,3.35,GB,2023-04-05 09:00:00
90,tezu,27.9167,96.1667,23.37,69,93,0.98,IN,2023-04-05 09:00:00
91,mayo,38.8876,-76.5119,15.41,91,31,2.1,US,2023-04-05 09:00:00
